pop,time,block,plot,trt,N,G,R,H..,J.,D,V,Hill
T1_2A,T1,2,A,1X,35,3,0.058823529,0.790558636,0.719597482,0.460504202,0.606445313,1.853582555
T1_2B,T1,2,B,0X,35,4,0.088235294,0.978672526,0.705963,0.554621849,0.640998959,2.245283019
T1_2C,T1,2,C,2X,34,4,0.090909091,0.644482362,0.464895754,0.319073084,0.245925926,1.468586387
T1_2D,T1,2,D,4X,36,1,0,0,NA,0,NA,1
T1_3A,T1,3,A,4X,34,4,0.090909091,1.041424818,0.75122921,0.575757576,0.672592593,2.357142857
T1_3B,T1,3,B,1X,34,4,0.090909091,0.715205551,0.515911751,0.363636364,0.32,1.571428571
T1_3C,T1,3,C,0X,36,2,0.028571429,0.492603658,0.710676854,0.322222222,0.581314879,1.475409836
T1_3D,T1,3,D,2X,35,2,0.029411765,0.129740695,0.187176257,0.057142857,6.07E-17,1.060606061
T1_4A,T1,4,A,1X,36,3,0.057142857,0.781247444,0.711122069,0.522222222,0.716253444,2.093023256
T1_4B,T1,4,B,0X,35,1,0,0,NA,0,NA,1
T1_4C,T1,4,C,2X,35,3,0.058823529,0.888972844,0.809177954,0.541176471,0.747070313,2.179487179
T1_4D,T1,4,D,4X,36,6,0.142857143,1.477172765,0.824425817,0.746031746,0.813333333,3.9375
T1_5A,T1,5,A,2X,36,5,0.114285714,1.133880752,0.704519723,0.592063492,0.621748179,2.451361868
T1_5B,T1,5,B,4X,36,5,0.114285714,0.587966225,0.365323956,0.26031746,0.078043704,1.35193133
T1_5C,T1,5,C,1X,35,10,0.264705882,2.012335044,0.873946005,0.865546218,0.871111111,7.4375
T1_5D,T1,5,D,0X,35,5,0.117647059,0.513816538,0.319252165,0.218487395,4.59E-17,1.279569892
T1_6A,T1,6,A,0X,36,2,0.028571429,0.562335145,0.811278124,0.385714286,0.719723183,1.627906977
T1_6B,T1,6,B,4X,36,1,0,0,NA,0,NA,1
T1_6C,T1,6,C,2X,34,4,0.090909091,0.915025823,0.660051608,0.570409982,0.663703704,2.32780083
T1_6D,T1,6,D,1X,35,2,0.029411765,0.64291244,0.927526588,0.463865546,0.888888889,1.865203762
T1_7A,T1,7,A,0X,34,4,0.090909091,1.123343971,0.810321388,0.629233512,0.761481481,2.697115385
T1_7B,T1,7,B,2X,36,2,0.028571429,0.126930545,0.183122068,0.055555556,7.56E-17,1.058823529
T1_7C,T1,7,C,4X,35,9,0.235294118,1.861120589,0.847032483,0.826890756,0.825443787,5.776699029
T1_7D,T1,7,D,1X,30,6,0.172413793,1.296421108,0.723546397,0.648275862,0.6125,2.843137255
T1_8A,T1,8,A,0X,29,4,0.107142857,1.019882807,0.735689934,0.613300493,0.7168,2.585987261
T1_8B,T1,8,B,1X,35,6,0.147058824,1.233081104,0.688195668,0.655462185,0.656361474,2.902439024
T1_8C,T1,8,C,4X,36,8,0.2,1.576186973,0.75798571,0.753968254,0.731778426,4.064516129
T1_8D,T1,8,D,2X,35,2,0.029411765,0.129740695,0.187176257,0.057142857,6.07E-17,1.060606061
T1_9A,T1,9,A,1X,35,2,0.029411765,0.219032522,0.315997133,0.11092437,0.117539027,1.124763705
T1_9B,T1,9,B,2X,36,2,0.028571429,0.686961577,0.99107606,0.507936508,0.98615917,2.032258065
T1_9C,T1,9,C,4X,36,2,0.028571429,0.286835983,0.41381685,0.157142857,0.221453287,1.186440678
T1_9D,T1,9,D,0X,31,2,0.033333333,0.239217094,0.345117315,0.124731183,0.133174792,1.142506143
T1_10A,T1,10,A,4X,36,2,0.028571429,0.450561209,0.650022422,0.285714286,0.501730104,1.4
T1_10B,T1,10,B,2X,36,6,0.142857143,1.299422024,0.72522124,0.688888889,0.717333333,3.214285714
T1_10C,T1,10,C,1X,34,6,0.151515152,1.369226387,0.764179797,0.725490196,0.771428571,3.642857143
T1_10D,T1,10,D,0X,34,2,0.03030303,0.223718076,0.322756959,0.114081996,0.12109375,1.128772636
T5_2A,T5,2,A,1X,36,3,0.057142857,0.654669565,0.595905918,0.374603175,0.460055096,1.598984772
T5_2B,T5,2,B,0X,32,5,0.129032258,0.777702369,0.483213651,0.383064516,0.24691358,1.620915033
T5_2C,T5,2,C,2X,36,3,0.057142857,0.253067332,0.230351812,0.10952381,1.20E-16,1.122994652
T5_2D,T5,2,D,4X,33,1,0,0,NA,0,NA,1
T5_3A,T5,3,A,4X,36,4,0.085714286,1.017550554,0.734007569,0.576190476,0.6796875,2.359550562
T5_3B,T5,3,B,1X,36,4,0.085714286,1.383201559,0.997769015,0.76984127,0.997395833,4.344827586
T5_3C,T5,3,C,0X,35,2,0.029411765,0.219032522,0.315997133,0.11092437,0.117539027,1.124763705
T5_3D,T5,3,D,2X,34,1,0,0,NA,0,NA,1
T5_4A,T5,4,A,1X,36,3,0.057142857,0.708581534,0.644978708,0.452380952,0.595041322,1.826086957
T5_4B,T5,4,B,0X,36,2,0.028571429,0.126930545,0.183122068,0.055555556,7.56E-17,1.058823529
T5_4C,T5,4,C,2X,36,3,0.057142857,0.949245058,0.864040087,0.595238095,0.842975207,2.470588235
T5_4D,T5,4,D,4X,36,5,0.114285714,1.311778404,0.815053749,0.707936508,0.811654527,3.423913043
T5_5A,T5,5,A,2X,36,4,0.085714286,0.619128586,0.446606871,0.303174603,0.231770833,1.435079727
T5_5B,T5,5,B,4X,34,3,0.060606061,0.649048475,0.590789382,0.35828877,0.424557752,1.558333333
T5_5C,T5,5,C,1X,32,9,0.258064516,2.055194052,0.935359122,0.883064516,0.927221172,8.551724138
T5_5D,T5,5,D,0X,33,5,0.125,0.627173602,0.389684869,0.28219697,0.086096939,1.393139842
T5_6A,T5,6,A,0X,35,2,0.029411765,0.355382896,0.512709142,0.208403361,0.330578512,1.263269639
T5_6B,T5,6,B,4X,33,2,0.03125,0.553858229,0.799048521,0.378787879,0.699271592,1.609756098
T5_6C,T5,6,C,2X,32,2,0.032258065,0.643491553,0.928362072,0.465725806,0.888888889,1.871698113
T5_6D,T5,6,D,1X,35,3,0.058823529,0.819174452,0.74564472,0.517647059,0.706054688,2.073170732
T5_7A,T5,7,A,0X,33,5,0.125,1.358902473,0.844333579,0.725378788,0.832270408,3.64137931
T5_7B,T5,7,B,2X,33,1,0,0,NA,0,NA,1
T5_7C,T5,7,C,4X,28,5,0.148148148,1.178580295,0.73229311,0.608465608,0.604914934,2.554054054
T5_7D,T5,7,D,1X,31,6,0.166666667,1.419838231,0.792426805,0.724731183,0.75648,3.6328125
T5_8A,T5,8,A,0X,35,6,0.147058824,1.373359048,0.766486279,0.690756303,0.716290131,3.233695652
T5_8B,T5,8,B,1X,33,5,0.125,1.376429998,0.855224043,0.736742424,0.851403061,3.798561151
T5_8C,T5,8,C,4X,34,8,0.212121212,1.821040271,0.875735256,0.823529412,0.852071006,5.666666667
T5_8D,T5,8,D,2X,35,1,0,0,NA,0,NA,1
T5_9A,T5,9,A,1X,36,2,0.028571429,0.126930545,0.183122068,0.055555556,7.56E-17,1.058823529
T5_9B,T5,9,B,2X,33,2,0.03125,0.613410049,0.884963636,0.435606061,0.824141519,1.771812081
T5_9C,T5,9,C,4X,35,4,0.088235294,1.005200352,0.725098781,0.576470588,0.677072494,2.361111111
T5_9D,T5,9,D,0X,34,3,0.060606061,0.634246377,0.577315931,0.383244207,0.468262227,1.621387283
T5_10A,T5,10,A,4X,32,4,0.096774194,0.645245671,0.465446365,0.33266129,0.255102041,1.498489426
T5_10B,T5,10,B,2X,36,6,0.142857143,1.514095881,0.845033001,0.768253968,0.850666667,4.315068493
T5_10C,T5,10,C,1X,32,5,0.129032258,1.355149833,0.842001933,0.72983871,0.836762689,3.701492537
T5_10D,T5,10,D,0X,34,2,0.03030303,0.223718076,0.322756959,0.114081996,0.12109375,1.128772636
